,STATION,LATITUDE,LONGITUDE,COUNTS
211,US10chey004,41.1548,-103.1077,0
212,US10chey005,41.04,-102.96,0
213,US10chey006,41.4026,-102.9707,0
214,US10chey007,41.127,-102.97,0
215,US10chey008,41.1491,-102.6355,0
216,US10chey009,41.1059,-102.8108,0
217,US10chey010,41.3766,-103.0495,0
218,US10chey012,41.2225,-102.726,0
219,US10chey013,41.2369,-102.8361,0
220,US10chey014,41.3945,-103.0327,0
221,US10chey015,41.2922,-102.8016,0
222,US10chey016,41.414,-102.695,0
223,US10chey017,41.2098,-103.2978,0
224,US10chey018,41.3722,-103.1112,0
225,US10chey019,41.3264,-102.9948,0
226,US10chey021,41.1554,-102.9844,0
227,US10chey022,41.1271,-102.9594,0
228,US10chey024,41.4188,-102.9737,0
229,US10chey025,41.1289,-102.9701,0
230,US10chey026,41.2586,-103.2644,0
231,US10chey027,41.1772,-103.2022,0
232,US10chey028,41.0317,-102.9277,0
233,US10chey029,41.3956,-103.3643,0
234,US10chey030,41.3903,-103.2967,0
235,US10chey031,41.175,-102.6462,0
236,US10chey032,41.0675,-102.6314,0
237,US10chey033,41.0246,-103.2684,0
238,US10chey034,41.2661,-102.9896,0
239,US10chey035,41.118,-103.1154,0
240,US10chey036,41.1334,-103.2254,0
241,US10chey037,41.0622,-103.2221,0
242,US10chey038,41.2362,-102.6945,0
243,US10chey040,41.3504,-103.2507,0
244,US10chey041,41.202,-103.163,0
245,US10chey045,41.2807,-102.9306,0
246,US10chey046,41.189,-103.2204,0
247,US10chey047,41.0054,-102.9378,0
248,US10chey049,41.0492,-103.1975,0
249,US10chey053,41.0856,-102.6689,0
250,US10chey056,41.3499,-102.8094,0
251,US10chey060,41.1339,-102.9777,0
252,US10chey064,41.2077,-103.2092,0
253,US10chey065,41.1936,-102.9917,0
254,US10clay002,40.3504,-97.897,0
255,US10clay004,40.5318,-98.107,0
256,US10clay005,40.4019,-97.9945,0
257,US10clay007,40.5099,-98.2439,0
258,US10clay008,40.4549,-98.0329,0
259,US10clay009,40.6115,-98.2773,0
260,US10clay012,40.6698,-98.1668,0
261,US10clay013,40.4615,-98.0694,0
262,US10clay015,40.6114,-97.8523,0
263,US10clay017,40.4517,-97.9066,0
264,US10clay018,40.526,-98.0537,0
265,US10clay019,40.5402,-98.2414,0
266,US10clay020,40.5245,-98.1652,0
267,US10clay021,40.4813,-98.1273,0
268,US10clay023,40.4473,-98.0466,0
269,US10clay024,40.6942,-98.0532,0
270,US10clay025,40.4224,-98.2226,0
271,US10clay027,40.4522,-98.2156,0
272,US10clay029,40.4086,-98.1087,0
273,US10clay037,40.5967,-97.8673,0
274,US10clay039,40.6236,-98.0925,0
275,US10clay041,40.5199,-98.0526,0
276,US10clay044,40.6101,-97.8621,0
277,US10colf001,41.7014,-97.0731,0
278,US10colf002,41.5837,-97.0027,0
279,US10colf003,41.596,-97.1614,0
280,US10colf005,41.4186,-97.2521,0
281,US10cumi002,41.8049,-96.6907,0
282,US10cumi003,41.8664,-96.7995,0
283,US10cumi005,41.9103,-96.6379,0
284,US10cumi006,41.9826,-96.9095,0
285,US10cumi007,41.82,-96.71,0
286,US10cumi008,41.9301,-96.8078,0
287,US10cumi009,42.0028,-96.5717,0
288,US10cumi010,41.7973,-96.7926,0
289,US10cumi011,42.0045,-96.7088,0
290,US10cumi012,42.0149,-96.5756,0
291,US10cust001,41.1325,-99.7503,0
292,US10cust002,41.6544,-99.4623,0
293,US10cust003,41.4206,-100.1929,0
294,US10cust004,41.1492,-100.1954,0
295,US10cust005,41.2685,-99.5322,0
296,US10cust007,41.2891,-99.3739,0
297,US10cust008,41.5246,-99.716,0
298,US10cust009,41.5285,-99.8369,0
299,US10cust010,41.1759,-99.6131,0
300,US10cust011,41.5008,-100.0225,0
301,US10cust012,41.6293,-99.9052,0
302,US10cust013,41.689,-99.9324,0
303,US10cust014,41.5419,-100.0685,0
304,US10cust015,41.7171,-99.9848,0
305,US10cust016,41.6,-99.7523,0
306,US10cust017,41.2252,-99.6644,0
307,US10cust020,41.2793,-100.1589,0
308,US10cust021,41.4517,-99.9745,0
309,US10cust022,41.409,-99.4638,0
310,US10cust027,41.7346,-99.6987,0
311,US10cust028,41.6399,-99.3898,0
312,US10cust029,41.5562,-99.2362,0
313,US10cust032,41.4189,-99.8858,0
314,US10cust035,41.5661,-100.0212,0
315,US10cust039,41.2888,-99.9237,0
316,US10cust040,41.2868,-99.7077,0
317,US10cust041,41.4004,-99.5844,0
318,US10cust042,41.6273,-99.741,0
319,US10cust045,41.412,-99.6378,0
320,US10cust046,41.4816,-99.8928,0
321,US10dako002,42.3484,-96.6192,0
322,US10dako003,42.3882,-96.5916,0
323,US10dawe001,42.8292,-102.9939,0
324,US10dawe002,42.8304,-102.9956,0
325,US10dawe003,42.7696,-103.0213,0
326,US10dawe005,42.7177,-103.0117,0
327,US10dawe006,42.6675,-103.2848,0
328,US10dawe007,42.8037,-103.0531,0
329,US10dawe010,42.6256,-102.8125,0
330,US10dawe011,42.5602,-103.0704,0
331,US10dawe012,42.7625,-103.3398,0
332,US10dawe013,42.5495,-103.3619,0
333,US10dawe015,42.4525,-102.9868,0
334,US10dawe016,42.6975,-103.3779,0
335,US10dawe017,42.4672,-103.145,0
336,US10dawe018,42.5116,-103.1096,0
337,US10dawe019,42.7123,-103.0049,0
338,US10dawe023,42.457,-102.9293,0
339,US10dawe025,42.8475,-103.0671,0
340,US10dawe026,42.668,-103.0668,0
341,US10dawe027,42.611,-103.0857,0
342,US10dawe030,42.4549,-103.2334,0
343,US10daws001,40.8658,-99.8494,0
344,US10daws002,40.78,-99.72,0
345,US10daws003,40.781,-99.5593,0
346,US10daws004,40.8844,-100.0327,0
347,US10daws005,40.7104,-99.7008,0
348,US10daws006,40.694,-99.587,0
349,US10daws007,41.0007,-100.1654,0
350,US10daws008,40.7966,-99.9956,0
351,US10daws009,40.8876,-100.1645,0
352,US10daws010,40.9455,-99.5599,0
353,US10daws011,40.9238,-99.4457,0
354,US10daws012,41.0118,-99.6248,0
355,US10daws013,40.7471,-99.4578,0
356,US10daws014,40.7135,-99.5213,0
357,US10daws015,40.7099,-100.1229,0
358,US10daws017,40.8715,-99.981,0
359,US10daws018,40.9394,-100.1577,0
360,US10deue001,41.0936,-102.4766,0
361,US10deue002,41.0955,-102.471,0
362,US10deue003,41.087,-102.4699,0
363,US10deue004,41.1496,-102.3234,0
364,US10deue005,41.1106,-102.3243,0
365,US10deue009,41.0613,-102.0896,0
366,US10deue010,41.1297,-102.4565,0
367,US10deue012,41.0479,-102.5835,0
368,US10deue013,41.0946,-102.4586,0
369,US10deue015,41.0025,-102.241,0
370,US10deue016,41.0557,-102.074,0
371,US10deue017,41.047,-102.147,0
372,US10deue018,41.1828,-102.5743,0
373,US10deue020,41.1266,-102.246,0
374,US10deue021,41.0911,-102.5577,0
375,US10deue025,41.0942,-102.4764,0
376,US10dixo001,42.4273,-96.9774,0
377,US10dixo003,42.3056,-96.7977,0
378,US10dixo005,42.5618,-96.7053,0
379,US10dixo006,42.5766,-96.8686,0
380,US10dodg005,41.668,-96.628,0
381,US10dodg012,41.6544,-96.5097,0
382,US10doug001,41.2201,-96.1474,0
383,US10doug002,41.199,-96.1841,0
384,US10doug005,41.2582,-96.1784,0
385,US10doug006,41.2658,-95.9927,0
386,US10doug007,41.2811,-96.1593,0
387,US10doug009,41.1977,-96.152,0
388,US10doug012,41.289,-96.331,0
389,US10doug013,41.3337,-95.9828,0
390,US10doug014,41.2166,-96.1456,0
391,US10doug015,41.32,-95.975,0
392,US10doug018,41.2924,-96.0062,0
393,US10doug019,41.1977,-96.0737,0
394,US10doug020,41.2903,-96.0279,0
395,US10doug021,41.2964,-96.2471,0
396,US10doug022,41.114,-96.1323,0
397,US10doug024,41.2844,-96.1014,0
398,US10doug025,41.3639,-96.1558,0
399,US10doug029,41.2523,-96.1839,0
400,US10doug031,41.2585,-96.2296,0
401,US10doug033,41.294,-96.1629,0
402,US10doug035,41.269,-96.116,0
403,US10doug036,41.3114,-96.1412,0
404,US10doug046,41.3003,-96.0398,0
405,US10doug051,41.3553,-96.2138,0
406,US10doug052,41.2538,-96.3304,0
407,US10doug053,41.2499,-96.1714,0
408,US10doug054,41.3121,-96.1779,0
409,US10doug055,41.3661,-96.3878,0
410,US10doug057,41.2042,-96.1052,0
411,US10doug059,41.206,-96.1812,0
412,US10doug060,41.2687,-95.9869,0
