"","STATION","LATITUDE","LONGITUDE"
"325","USC00107264",48.9994,-116.4992
"326","USC00107386",48.3511,-116.8353
"327","USC00107673",43.0517,-114.155
"328","USC00108022",43.9522,-111.6786
"329","USC00108062",47.3164,-116.5789
"330","USC00108137",48.2942,-116.5628
"331","USC00108380",42.9383,-114.4169
"332","USC00108928",43.2436,-116.3783
"333","USC00109498",47.4753,-115.9314
"334","USC00110072",41.1978,-90.7447
"335","USC00110137",38.8669,-90.1489
"336","USC00110187",37.5222,-89.2486
"337","USC00110338",41.7803,-88.3092
"338","USC00111265",37.7308,-89.1658
"339","USC00111436",39.4761,-88.1653
"340","USC00111577",41.7372,-87.7775
"341","USC00112140",40.1392,-87.6478
"342","USC00112193",39.8289,-88.9506
"343","USC00112348",41.835,-89.5136
"344","USC00112483",37.9878,-89.1931
"345","USC00112687",39.1181,-88.6244
"346","USC00112931",38.3806,-88.3264
"347","USC00113290",41.8978,-90.1544
"348","USC00113320",40.9464,-90.3856
"349","USC00113335",41.1739,-90.035
"350","USC00114108",39.1611,-89.4919
"351","USC00114198",40.4664,-87.685
"352","USC00114442",39.7347,-90.1978
"353","USC00114823",40.5839,-90.9686
"354","USC00115079",40.1519,-89.3386
"355","USC00115768",40.9442,-90.6381
"356","USC00115833",41.7944,-89.9681
"357","USC00115901",42.0981,-89.9842
"358","USC00115943",38.3619,-88.8597
"359","USC00116446",38.7006,-88.0819
"360","USC00116526",41.3281,-88.9097
"361","USC00116558",38.9994,-87.6139
"362","USC00116579",39.3686,-89.0867
"363","USC00116610",39.6186,-87.6672
"364","USC00116910",40.8778,-88.6364
"365","USC00117551",40.1275,-90.5592
"366","USC00118293",42.3997,-89.9903
"367","USC00118684",39.7947,-88.2911
"368","USC00118740",40.0842,-88.2403
"369","USC00118916",41.5603,-89.6025
"370","USC00119021",40.7939,-87.7544
"371","USC00119241",39.4408,-90.3789
"372","USC00119354",39.4458,-88.5961
"373","USC00120177",40.1117,-85.7164
"374","USC00120200",41.6639,-85.0183
"375","USC00120676",40.6683,-84.93
"376","USC00120784",39.1739,-86.5208
"377","USC00121030",39.4239,-85.0144
"378","USC00121747",39.1661,-85.9228
"379","USC00123082",40.2986,-86.5067
"380","USC00123418",41.5575,-85.8825
"381","USC00123513",39.6439,-86.8767
"382","USC00123527",39.7858,-85.7611
"383","USC00123547",39.3475,-85.4892
"384","USC00125337",40.58,-85.6586
"385","USC00126001",37.9286,-87.8956
"386","USC00126435",39.0014,-85.5997
"387","USC00126580",38.8878,-86.5519
"388","USC00126705",38.5556,-86.4858
"389","USC00127125",38.3567,-87.5906
"390","USC00127482",41.0664,-86.2097
"391","USC00127522",39.7594,-87.2269
"392","USC00127646",39.6042,-85.4533
"393","USC00127935",38.9542,-85.9044
"394","USC00127999",39.5283,-85.7914
"395","USC00128036",38.5528,-86.7944
"396","USC00128698",37.9531,-86.7747
"397","USC00129253",38.6489,-87.1989
"398","USC00129557",39.9961,-86.3542
"399","USC00129670",41.0267,-86.5867
"400","USC00129678",40.1714,-84.9208
"401","USC00130112",41.0656,-92.7867
"402","USC00130133",43.0664,-94.2222
"403","USC00130157",42.7536,-92.8022
"404","USC00130364",41.4175,-95.0042
"405","USC00130385",41.7069,-94.9222
"406","USC00130576",40.6742,-94.7244
"407","USC00130600",41.8814,-92.2764
"408","USC00130608",42.2611,-90.423
"409","USC00130753",40.7392,-92.4142
"410","USC00130807",42.0417,-93.8908
"411","USC00130923",43.1056,-93.7444
"412","USC00131233",42.065,-94.85
"413","USC00131319",42.0497,-91.5881
"414","USC00131354",40.7325,-92.89
"415","USC00131394",41.0164,-93.2792
"416","USC00131442",42.7572,-95.5378
"417","USC00131533",40.7244,-95.0192
"418","USC00131541",42.72,-93.7336
"419","USC00131635",41.7947,-90.2639
"420","USC00131833",40.9883,-94.7589
"421","USC00131954",43.3894,-92.0939
"422","USC00131962",41.0372,-94.3936
"423","USC00132171",42.0364,-95.3289
"424","USC00132364",42.54,-90.6461
"425","USC00132603",42.7753,-91.4536
"426","USC00132689",43.1025,-94.6833
"427","USC00132724",43.4036,-94.7472
"428","USC00132789",41.0211,-91.9553
"429","USC00132864",42.8825,-91.8303
"430","USC00132977",43.2844,-93.6306
"431","USC00132999",42.5836,-94.2006
"432","USC00133438",41.2942,-94.4456
"433","USC00133487",42.3647,-92.7594
"434","USC00133509",41.6686,-94.4972
"435","USC00133584",42.7561,-93.2019
"436","USC00133632",41.6453,-95.3339
"437","USC00133718",43.0031,-96.485
"438","USC00134063",41.3664,-93.6481
"439","USC00134101",41.6092,-91.505
"440","USC00134142",42.5189,-93.2536
"441","USC00134228",42.0103,-94.3953
"442","USC00134389",40.7467,-91.9575
"443","USC00134502",41.3247,-93.1008
"444","USC00134561",43.4483,-95.3247
"445","USC00134705",41.5747,-90.4006
"446","USC00134735",42.7817,-96.1458
"447","USC00134894",41.65,-95.8061
"448","USC00135198",42.0647,-92.9244
"449","USC00135230",43.1631,-93.1953
"450","USC00135493",43.3828,-95.1842
"451","USC00135769",40.7053,-94.2428
"452","USC00135796",40.9486,-91.5647
"453","USC00135837",41.4075,-91.0728
"454","USC00135952",43.0453,-92.3122
"455","USC00136103",43.4386,-93.2253
"456","USC00136151",41.3044,-95.3844
"457","USC00136243",42.0697,-96.1258
"458","USC00136305",43.2792,-92.8308
"459","USC00136316",41.0194,-93.7503
"460","USC00136327",41.3214,-92.6467
"461","USC00136566",41.8394,-94.1106
"462","USC00136719",42.7292,-94.6614
"463","USC00136800",43.0864,-95.6292
"464","USC00136940",41.0036,-95.2419
"465","USC00137147",43.43,-96.1686
"466","USC00137161",42.3969,-94.6292
"467","USC00137312",42.4194,-94.9761
"468","USC00137386",43.1792,-95.6603
"469","USC00137594",43.1803,-95.8533
"470","USC00137613",40.7717,-95.3739
"471","USC00137664",43.4022,-95.7497
"472","USC00137678",41.3372,-92.2278
"473","USC00137726",42.8928,-95.1469
"474","USC00137844",43.1653,-95.1467
"475","USC00137979",42.6469,-95.1933
"476","USC00138296",42.0356,-92.5806
"477","USC00138568",42.1464,-92.0125
"478","USC00138688",41.2825,-91.7078
"479","USC00138755",43.3156,-91.4533
"480","USC00138806",42.4686,-93.7975
"481","USC00139067",41.665,-91.9978
"482","USC00140365",37.1942,-99.7633
"483","USC00140439",39.7994,-101.0422
"484","USC00140682",39.8186,-97.6378
"485","USC00140865",38.5636,-99.235
"486","USC00141522",37.8133,-100.3456
"487","USC00141559",39.3739,-97.1275
"488","USC00141704",37.2733,-99.3289
"489","USC00141740",37.1681,-94.83
"490","USC00141858",38.3703,-96.5483
"491","USC00142401",37.8183,-96.8444
"492","USC00142432",37.0058,-101.8867
"493","USC00142459",38.7297,-98.225
"494","USC00142835",37.8172,-94.6986
"495","USC00142894",37.5339,-95.8269
"496","USC00143008",38.28,-95.2178
"497","USC00143239",37.6025,-99.3022
"498","USC00143527",38.8586,-99.3358
"499","USC00143554",38.6003,-100.6197
"500","USC00143594",38.6656,-96.9494
"501","USC00143810",39.6678,-95.52
"502","USC00143837",39.3569,-100.4417
"503","USC00143855",37.1639,-101.34
"504","USC00143954",37.2364,-95.7003
"505","USC00144464",37.9411,-101.2492
"506","USC00144559",38.9583,-95.2514
"507","USC00144665",38.49,-101.3669
"508","USC00144695",37.0308,-100.9069
